CO2 Emissions (kilotons),Year
780726.302,1960
552066.85,1961
440359.029,1962
436695.696,1963
436923.05,1964
475972.933,1965
522789.522,1966
433234.048,1967
468928.626,1968
577237.138,1969
771617.474,1970
876633.02,1971
931575.681,1972
968542.708,1973
988014.478,1974
1145607.47,1975
1196193.735,1976
1310310.775,1977
1462168.579,1978
1494859.884,1979
1467192.369,1980
1451501.276,1981
1580260.647,1982
1667029.201,1983
1814908.31,1984
1966553.428,1985
2068969.071,1986
2209708.531,1987
2369501.723,1988
2408540.605,1989
2442431.019,1990
2565594.548,1991
2690455.898,1992
2878694.009,1993
3058241.33,1994
3320285.15,1995
3463089.131,1996
3469510.048,1997
3324344.519,1998
3318055.614,1999
3405179.867,2000
3487566.356,2001
3850269.326,2002
4540417.061,2003
5233538.733,2004
5896957.705,2005
6529291.518,2006
7030797.772,2007
7553070.247,2008
8001008.965,2009
8776040.416,2010
9733538.12,2011
10028573.94,2012
10258007.13,2013
10291926.88,2014
